NO_OF_FRAMES	24128
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-10-12, 18:19:48.305	233920.04677890
DATA_INCLUDED	3D
MARKER_NAMES	
Frame	Time	 X	 Y	 Z	
1	0.00000	-4.581	225.225	44.691
2	0.01000	-4.488	227.109	44.615
3	0.02000	-4.382	228.744	44.595
4	0.03000	-4.331	230.307	44.576
5	0.04000	-4.233	231.554	44.615
6	0.05000	-4.178	232.666	44.653
7	0.06000	-4.088	233.606	44.680
8	0.07000	-4.077	234.483	44.762
9	0.08000	-4.083	235.100	44.888
10	0.09000	-4.062	235.597	44.965
11	0.10000	-4.065	235.802	45.115
12	0.11000	-4.066	235.809	45.254
13	0.12000	-4.083	235.667	45.375
14	0.13000	-4.162	235.291	45.561
15	0.14000	-4.206	234.786	45.726
16	0.15000	-4.274	234.001	45.980
17	0.16000	-4.356	232.970	46.221
18	0.17000	-4.452	231.899	46.465
19	0.18000	-4.599	230.645	46.733
20	0.19000	-4.680	229.130	46.998
21	0.20000	-4.819	227.510	47.313
22	0.21000	-4.938	225.817	47.538
23	0.22000	-5.096	223.934	47.851
24	0.23000	-5.219	221.891	48.157
25	0.24000	-5.367	219.747	48.461
26	0.25000	-5.490	217.595	48.772
27	0.26000	-5.659	215.347	49.060
28	0.27000	-5.830	213.049	49.323
29	0.28000	-5.951	210.673	49.578
30	0.29000	-6.112	208.208	49.854
31	0.30000	-6.285	205.789	50.122
32	0.31000	-6.490	203.376	50.383
33	0.32000	-6.605	200.940	50.577
34	0.33000	-6.759	198.377	50.841
35	0.34000	-6.957	195.881	51.060
36	0.35000	-7.113	193.410	51.225
37	0.36000	-7.301	190.915	51.482
38	0.37000	-7.459	188.435	51.595
39	0.38000	-7.717	186.047	51.829
40	0.39000	-7.881	183.584	51.985
41	0.40000	-8.058	181.275	52.129
42	0.41000	-8.265	178.951	52.296
43	0.42000	-8.438	176.725	52.430
44	0.43000	-8.655	174.555	52.569
45	0.44000	-8.876	172.578	52.664
46	0.45000	-9.032	170.645	52.736
47	0.46000	-9.259	168.785	52.828
48	0.47000	-9.446	167.224	52.860
49	0.48000	-9.594	165.689	52.852
50	0.49000	-9.769	164.506	52.809
51	0.50000	-9.995	163.413	52.816
52	0.51000	-10.107	162.492	52.760
53	0.52000	-10.238	161.799	52.651
54	0.53000	-10.375	161.323	52.480
55	0.54000	-10.452	161.069	52.313
56	0.55000	-10.604	160.979	52.148
57	0.56000	-10.672	161.122	51.904
58	0.57000	-10.752	161.388	51.718
59	0.58000	-10.817	161.839	51.446
60	0.59000	-10.858	162.433	51.181
61	0.60000	-10.932	163.267	50.871
62	0.61000	-10.992	164.233	50.628
63	0.62000	-11.037	165.219	50.343
64	0.63000	-11.049	166.455	49.977
65	0.64000	-11.091	167.857	49.651
66	0.65000	-11.142	169.374	49.350
67	0.66000	-11.147	170.874	49.032
68	0.67000	-11.136	172.589	48.630
69	0.68000	-11.169	174.425	48.272
70	0.69000	-11.117	176.335	47.890
71	0.70000	-11.115	178.355	47.532
72	0.71000	-11.077	180.468	47.109
73	0.72000	-11.050	182.791	46.718
74	0.73000	-10.926	184.814	46.391
75	0.74000	-10.879	187.283	45.962
76	0.75000	-10.828	189.710	45.636
77	0.76000	-10.703	192.355	45.128
78	0.77000	-10.617	194.959	44.794
79	0.78000	-10.462	197.467	44.404
80	0.79000	-10.372	200.439	43.923
81	0.80000	-10.236	203.045	43.563
82	0.81000	-10.027	205.566	43.152
83	0.82000	-9.955	208.260	42.831
84	0.83000	-9.766	210.692	42.485
85	0.84000	-9.560	213.053	42.112
86	0.85000	-9.399	215.484	41.839
87	0.86000	-9.246	217.689	41.541
88	0.87000	-9.025	219.708	41.263
89	0.88000	-8.869	221.847	40.991
90	0.89000	-8.736	223.750	40.788
91	0.90000	-8.548	225.412	40.640
