NO_OF_FRAMES	15000
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-10-10, 14:08:55.742	46067.76350300
DATA_INCLUDED	3D
MARKER_NAMES	
Frame	Time	 X	 Y	 Z	
1	0.00000	18.774	332.072	-19.420
2	0.01000	18.577	329.666	-19.893
3	0.02000	18.530	327.787	-20.063
4	0.03000	18.450	326.028	-20.181
5	0.04000	18.351	324.276	-20.366
6	0.05000	18.308	322.877	-20.339
7	0.06000	18.214	321.556	-20.465
8	0.07000	18.062	320.392	-20.538
9	0.08000	17.987	319.361	-20.661
10	0.09000	17.906	318.503	-20.636
11	0.10000	17.763	317.811	-20.697
12	0.11000	17.614	317.250	-20.743
13	0.12000	17.516	316.913	-20.684
14	0.13000	17.376	316.657	-20.651
15	0.14000	17.253	316.651	-20.601
16	0.15000	17.099	316.750	-20.496
17	0.16000	16.912	317.125	-20.454
18	0.17000	16.806	317.571	-20.382
19	0.18000	16.636	318.305	-20.209
20	0.19000	16.479	319.151	-20.122
21	0.20000	16.312	320.091	-20.069
22	0.21000	16.124	321.318	-19.960
23	0.22000	16.012	322.713	-19.715
24	0.23000	15.766	324.249	-19.548
25	0.24000	15.642	325.929	-19.369
26	0.25000	15.450	327.619	-19.237
27	0.26000	15.339	329.553	-18.949
28	0.27000	15.180	331.592	-18.754
29	0.28000	15.036	333.742	-18.479
30	0.29000	14.861	335.939	-18.230
31	0.30000	14.705	338.230	-18.022
32	0.31000	14.572	340.666	-17.646
33	0.32000	14.446	343.197	-17.405
34	0.33000	14.330	345.696	-17.084
35	0.34000	14.171	348.226	-16.822
36	0.35000	14.080	350.888	-16.532
37	0.36000	13.992	353.463	-16.139
38	0.37000	13.877	355.953	-15.801
39	0.38000	13.801	358.649	-15.469
40	0.39000	13.776	361.295	-15.101
41	0.40000	13.651	363.762	-14.746
42	0.41000	13.634	366.412	-14.408
43	0.42000	13.586	368.845	-14.021
44	0.43000	13.500	371.225	-13.610
45	0.44000	13.501	373.665	-13.283
46	0.45000	13.447	375.951	-12.876
47	0.46000	13.469	378.121	-12.537
48	0.47000	13.428	380.232	-12.143
49	0.48000	13.449	382.178	-11.791
50	0.49000	13.456	383.990	-11.407
51	0.50000	13.435	385.707	-11.025
52	0.51000	13.467	387.198	-10.610
53	0.52000	13.500	388.649	-10.251
54	0.53000	13.533	389.829	-9.925
55	0.54000	13.621	390.872	-9.566
56	0.55000	13.608	391.778	-9.179
57	0.56000	13.723	392.499	-8.858
58	0.57000	13.748	392.928	-8.480
59	0.58000	13.888	393.452	-8.195
60	0.59000	13.895	393.537	-7.811
61	0.60000	14.036	393.641	-7.522
62	0.61000	14.017	393.438	-7.114
63	0.62000	14.148	393.016	-6.773
64	0.63000	14.256	392.447	-6.474
65	0.64000	14.348	391.759	-6.182
66	0.65000	14.427	390.809	-5.872
67	0.66000	14.552	389.689	-5.562
68	0.67000	14.711	388.599	-5.348
69	0.68000	14.776	387.128	-5.014
70	0.69000	14.901	385.673	-4.804
71	0.70000	15.017	384.156	-4.619
72	0.71000	15.174	382.291	-4.430
73	0.72000	15.293	380.345	-4.210
74	0.73000	15.399	378.331	-4.012
75	0.74000	15.553	376.142	-3.870
76	0.75000	15.707	373.801	-3.761
77	0.76000	15.833	371.533	-3.704
78	0.77000	15.957	369.115	-3.629
79	0.78000	16.157	366.657	-3.603
80	0.79000	16.305	364.095	-3.594
81	0.80000	16.451	361.624	-3.638
82	0.81000	16.583	359.108	-3.601
83	0.82000	16.724	356.485	-3.760
84	0.83000	16.875	353.994	-3.856
85	0.84000	17.049	351.429	-4.016
86	0.85000	17.223	348.803	-4.180
87	0.86000	17.407	346.234	-4.404
88	0.87000	17.524	343.726	-4.576
89	0.88000	17.659	341.319	-4.877
90	0.89000	17.800	338.922	-5.105
91	0.90000	17.978	336.672	-5.511
92	0.91000	18.111	334.506	-5.811
93	0.92000	18.228	332.463	-6.189
94	0.93000	18.350	330.532	-6.636
95	0.94000	18.463	328.622	-7.056
96	0.95000	18.560	326.882	-7.527
97	0.96000	18.676	325.284	-7.932
98	0.97000	18.800	323.896	-8.393
99	0.98000	18.895	322.543	-8.895
100	0.99000	18.973	321.389	-9.488
101	1.00000	19.003	320.359	-9.986
102	1.01000	19.081	319.559	-10.552
103	1.02000	19.104	318.922	-11.160
104	1.03000	19.137	318.399	-11.781
105	1.04000	19.139	318.049	-12.431
106	1.05000	19.156	317.969	-13.046
107	1.06000	19.179	317.991	-13.745
108	1.07000	19.209	318.327	-14.307
109	1.08000	19.145	318.478	-15.000
110	1.09000	19.191	319.144	-15.551
111	1.10000	19.168	319.797	-16.278
112	1.11000	19.082	320.585	-16.909
113	1.12000	19.053	321.758	-17.511
114	1.13000	18.959	322.975	-18.099
115	1.14000	18.951	324.314	-18.766
116	1.15000	18.890	325.833	-19.390
117	1.16000	18.786	327.431	-19.944
118	1.17000	18.688	329.134	-20.613
119	1.18000	18.654	331.201	-21.139
120	1.19000	18.536	333.128	-21.619
121	1.20000	18.446	335.226	-22.173
122	1.21000	18.317	337.416	-22.628
123	1.22000	18.252	339.654	-23.120
124	1.23000	18.144	342.043	-23.572
125	1.24000	17.986	344.307	-23.971
126	1.25000	17.849	346.856	-24.368
127	1.26000	17.718	349.343	-24.795
128	1.27000	17.618	351.909	-25.101
129	1.28000	17.435	354.471	-25.409
130	1.29000	17.313	357.111	-25.685
131	1.30000	17.174	359.584	-25.922
132	1.31000	17.080	362.150	-26.199
133	1.32000	16.883	364.628	-26.258
134	1.33000	16.736	367.020	-26.379
135	1.34000	16.578	369.211	-26.459
136	1.35000	16.427	371.622	-26.578
137	1.36000	16.287	373.759	-26.495
138	1.37000	16.153	375.928	-26.511
139	1.38000	15.975	377.992	-26.538
140	1.39000	15.763	379.861	-26.343
141	1.40000	15.657	381.540	-26.133
142	1.41000	15.506	383.301	-25.990
143	1.42000	15.381	384.818	-25.704
144	1.43000	15.264	386.254	-25.428
145	1.44000	15.132	387.511	-25.201
146	1.45000	14.939	388.512	-24.736
147	1.46000	14.793	389.458	-24.341
148	1.47000	14.734	390.260	-23.950
149	1.48000	14.625	390.875	-23.562
150	1.49000	14.504	391.228	-22.997
151	1.50000	14.346	391.447	-22.452
152	1.51000	14.251	391.624	-21.899
153	1.52000	14.148	391.579	-21.359
154	1.53000	13.996	391.419	-20.668
155	1.54000	13.906	390.940	-20.051
156	1.55000	13.864	390.369	-19.424
157	1.56000	13.716	389.575	-18.672
158	1.57000	13.655	388.671	-18.022
159	1.58000	13.545	387.432	-17.171
160	1.59000	13.526	386.203	-16.501
161	1.60000	13.453	384.759	-15.756
162	1.61000	13.440	383.299	-15.027
163	1.62000	13.382	381.584	-14.206
164	1.63000	13.324	379.931	-13.452
165	1.64000	13.326	377.849	-12.630
166	1.65000	13.285	375.866	-11.809
167	1.66000	13.262	373.745	-11.015
168	1.67000	13.335	371.566	-10.292
169	1.68000	13.324	369.180	-9.422
170	1.69000	13.366	366.878	-8.687
171	1.70000	13.396	364.349	-7.887
172	1.71000	13.400	362.026	-7.119
173	1.72000	13.492	359.471	-6.338
174	1.73000	13.574	356.961	-5.692
175	1.74000	13.665	354.593	-5.019
176	1.75000	13.710	351.936	-4.435
177	1.76000	13.816	349.653	-3.815
178	1.77000	13.961	347.237	-3.161
179	1.78000	14.021	344.712	-2.643
180	1.79000	14.197	342.498	-2.121
181	1.80000	14.331	340.188	-1.617
182	1.81000	14.477	337.895	-1.180
183	1.82000	14.614	335.767	-0.750
184	1.83000	14.794	333.806	-0.466
185	1.84000	14.972	331.762	-0.101
186	1.85000	15.149	330.031	0.226
187	1.86000	15.356	328.230	0.411
188	1.87000	15.525	326.750	0.629
189	1.88000	15.706	325.392	0.752
190	1.89000	15.913	324.122	0.824
191	1.90000	16.105	322.935	0.881
192	1.91000	16.275	322.006	0.856
193	1.92000	16.492	321.176	0.755
194	1.93000	16.709	320.562	0.658
195	1.94000	16.850	320.048	0.454
196	1.95000	17.068	319.805	0.243
197	1.96000	17.255	319.537	-0.016
198	1.97000	17.427	319.669	-0.355
199	1.98000	17.608	319.788	-0.722
200	1.99000	17.799	320.219	-1.123
201	2.00000	17.950	320.742	-1.574
202	2.01000	18.129	321.427	-2.113
203	2.02000	18.256	322.407	-2.564
204	2.03000	18.398	323.360	-3.207
205	2.04000	18.578	324.548	-3.855
206	2.05000	18.706	325.796	-4.504
207	2.06000	18.814	327.240	-5.138
208	2.07000	18.978	328.783	-5.918
209	2.08000	19.084	330.551	-6.618
210	2.09000	19.205	332.342	-7.426
211	2.10000	19.288	334.247	-8.222
212	2.11000	19.386	336.273	-9.020
213	2.12000	19.490	338.466	-9.897
214	2.13000	19.582	340.618	-10.681
215	2.14000	19.615	342.919	-11.513
216	2.15000	19.660	345.262	-12.455
217	2.16000	19.748	347.550	-13.280
218	2.17000	19.725	349.949	-14.152
219	2.18000	19.795	352.306	-15.058
220	2.19000	19.829	354.811	-15.935
221	2.20000	19.833	357.273	-16.713
222	2.21000	19.797	359.754	-17.620
223	2.22000	19.783	362.252	-18.435
224	2.23000	19.796	364.587	-19.320
225	2.24000	19.711	366.968	-20.111
226	2.25000	19.695	369.323	-20.945
227	2.26000	19.630	371.492	-21.663
228	2.27000	19.560	373.585	-22.409
229	2.28000	19.480	375.621	-23.115
230	2.29000	19.374	377.573	-23.770
231	2.30000	19.270	379.467	-24.399
232	2.31000	19.180	381.098	-24.969
233	2.32000	19.103	382.681	-25.545
234	2.33000	18.961	384.136	-26.105
235	2.34000	18.859	385.384	-26.578
236	2.35000	18.643	386.586	-26.904
237	2.36000	18.520	387.626	-27.398
238	2.37000	18.350	388.429	-27.712
239	2.38000	18.254	389.195	-28.055
240	2.39000	18.037	389.743	-28.310
241	2.40000	17.813	390.159	-28.510
242	2.41000	17.699	390.405	-28.753
243	2.42000	17.481	390.404	-28.783
244	2.43000	17.281	390.259	-28.892
245	2.44000	17.099	389.835	-28.910
246	2.45000	16.887	389.486	-28.889
247	2.46000	16.641	388.777	-28.681
248	2.47000	16.477	387.964	-28.622
249	2.48000	16.202	387.045	-28.435
250	2.49000	16.007	385.874	-28.172
251	2.50000	15.769	384.649	-27.928
252	2.51000	15.583	383.248	-27.625
253	2.52000	15.368	381.656	-27.229
254	2.53000	15.143	380.099	-26.860
255	2.54000	14.965	378.191	-26.388
256	2.55000	14.719	376.262	-25.880
257	2.56000	14.492	374.200	-25.314
258	2.57000	14.318	372.098	-24.769
259	2.58000	14.157	369.922	-24.151
260	2.59000	13.937	367.593	-23.482
261	2.60000	13.795	365.224	-22.813
262	2.61000	13.559	362.915	-22.091
263	2.62000	13.437	360.490	-21.346
264	2.63000	13.269	358.092	-20.637
265	2.64000	13.129	355.630	-19.809
266	2.65000	12.972	353.061	-19.111
267	2.66000	12.866	350.667	-18.322
268	2.67000	12.754	348.141	-17.497
269	2.68000	12.629	345.818	-16.646
270	2.69000	12.572	343.411	-15.792
271	2.70000	12.494	341.217	-14.920
272	2.71000	12.418	338.904	-14.169
273	2.72000	12.349	336.768	-13.287
274	2.73000	12.307	334.658	-12.466
275	2.74000	12.307	332.733	-11.630
276	2.75000	12.302	330.938	-10.796
277	2.76000	12.288	329.060	-10.097
278	2.77000	12.308	327.415	-9.227
279	2.78000	12.451	326.037	-8.350
280	2.79000	12.440	324.626	-7.668
281	2.80000	12.513	323.383	-6.915
282	2.81000	12.585	322.235	-6.198
283	2.82000	12.632	321.284	-5.548
284	2.83000	12.766	320.614	-4.820
285	2.84000	12.851	319.931	-4.240
286	2.85000	12.968	319.486	-3.681
287	2.86000	13.102	319.343	-3.106
288	2.87000	13.258	319.153	-2.635
289	2.88000	13.442	319.223	-2.130
290	2.89000	13.608	319.572	-1.737
291	2.90000	13.722	319.910	-1.345
292	2.91000	13.931	320.596	-0.954
293	2.92000	14.075	321.275	-0.674
294	2.93000	14.275	322.156	-0.420
295	2.94000	14.431	323.252	-0.282
296	2.95000	14.612	324.498	-0.117
297	2.96000	14.836	325.941	-0.013
298	2.97000	15.042	327.508	0.064
299	2.98000	15.307	329.187	0.083
300	2.99000	15.491	330.944	0.047
301	3.00000	15.705	332.754	-0.023
302	3.01000	15.940	334.699	-0.145
