NO_OF_FRAMES	18000
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-10-12, 17:50:16.424	232148.16537760
DATA_INCLUDED	3D
MARKER_NAMES	
Frame	Time	 X	 Y	 Z	
1	0.00000	37.754	278.553	45.826
2	0.01000	38.118	278.614	45.823
3	0.02000	38.423	278.718	45.970
4	0.03000	38.513	278.735	46.023
5	0.04000	38.501	278.769	46.043
6	0.05000	38.308	278.721	46.136
7	0.06000	37.894	278.594	46.160
8	0.07000	37.475	278.640	46.233
9	0.08000	36.871	278.504	46.176
10	0.09000	36.112	278.418	46.194
11	0.10000	35.232	278.330	46.209
12	0.11000	34.130	278.125	46.260
13	0.12000	33.085	278.101	46.266
14	0.13000	31.743	277.937	46.316
15	0.14000	30.356	277.811	46.326
16	0.15000	28.795	277.565	46.071
17	0.16000	27.161	277.351	46.005
18	0.17000	25.454	277.118	45.933
19	0.18000	23.660	276.970	45.906
20	0.19000	21.825	276.840	45.777
21	0.20000	19.797	276.634	45.658
22	0.21000	17.810	276.586	45.563
23	0.22000	15.556	276.345	45.388
24	0.23000	13.435	276.273	45.321
25	0.24000	11.048	276.038	45.159
26	0.25000	8.787	275.954	44.992
27	0.26000	6.443	275.897	44.811
28	0.27000	4.133	275.822	44.665
29	0.28000	1.879	275.789	44.510
30	0.29000	-0.553	275.729	44.393
31	0.30000	-2.911	275.700	44.185
32	0.31000	-5.279	275.773	44.057
33	0.32000	-7.640	275.809	43.962
34	0.33000	-9.964	275.854	43.835
35	0.34000	-12.200	276.031	43.667
36	0.35000	-14.519	276.020	43.664
37	0.36000	-16.588	276.263	43.546
38	0.37000	-18.677	276.307	43.478
39	0.38000	-20.745	276.479	43.458
40	0.39000	-22.691	276.570	43.320
41	0.40000	-24.517	276.814	43.352
42	0.41000	-26.311	277.006	43.253
43	0.42000	-27.946	277.186	43.271
44	0.43000	-29.507	277.348	43.262
45	0.44000	-31.028	277.586	43.201
46	0.45000	-32.312	277.811	43.264
47	0.46000	-33.624	277.946	43.313
48	0.47000	-34.677	278.121	43.320
49	0.48000	-35.627	278.313	43.422
50	0.49000	-36.499	278.338	43.380
51	0.50000	-37.147	278.452	43.373
52	0.51000	-37.664	278.540	43.321
53	0.52000	-38.141	278.629	43.544
54	0.53000	-38.427	278.707	43.570
55	0.54000	-38.546	278.770	43.525
56	0.55000	-38.560	278.789	43.594
57	0.56000	-38.354	278.799	43.607
58	0.57000	-38.115	278.755	43.625
59	0.58000	-37.681	278.625	43.627
60	0.59000	-37.107	278.474	43.612
61	0.60000	-36.444	278.386	43.569
62	0.61000	-35.587	278.299	43.558
63	0.62000	-34.644	278.081	43.466
64	0.63000	-33.505	277.984	43.427
65	0.64000	-32.244	277.747	43.438
66	0.65000	-30.933	277.614	43.477
67	0.66000	-29.453	277.427	43.589
68	0.67000	-27.835	277.295	43.582
69	0.68000	-26.149	277.113	43.559
70	0.69000	-24.380	276.949	43.643
71	0.70000	-22.531	276.709	43.625
72	0.71000	-20.608	276.570	43.701
73	0.72000	-18.549	276.453	43.623
74	0.73000	-16.459	276.261	43.781
75	0.74000	-14.349	276.097	43.602
76	0.75000	-12.083	276.014	43.767
77	0.76000	-9.888	275.895	43.879
78	0.77000	-7.552	275.875	43.952
79	0.78000	-5.228	275.779	44.139
80	0.79000	-2.932	275.771	44.277
81	0.80000	-0.636	275.737	44.318
82	0.81000	1.733	275.753	44.319
83	0.82000	3.996	275.800	44.417
84	0.83000	6.355	275.884	44.594
85	0.84000	8.678	275.977	44.570
86	0.85000	10.918	276.079	44.761
87	0.86000	13.202	276.217	44.946
88	0.87000	15.318	276.356	45.144
89	0.88000	17.345	276.463	45.177
90	0.89000	19.448	276.673	45.386
91	0.90000	21.358	276.795	45.521
92	0.91000	23.150	276.870	45.524
93	0.92000	24.958	277.046	45.622
94	0.93000	26.643	277.192	45.630
95	0.94000	28.242	277.382	45.844
96	0.95000	29.722	277.642	45.990
97	0.96000	31.066	277.795	45.938
98	0.97000	32.315	277.943	46.166
99	0.98000	33.387	278.060	46.159
100	0.99000	34.369	278.204	46.209
101	1.00000	35.242	278.348	46.290
102	1.01000	35.927	278.420	46.260
103	1.02000	36.574	278.531	46.303
104	1.03000	37.004	278.527	46.213
105	1.04000	37.331	278.542	46.319
106	1.05000	37.513	278.603	46.248
107	1.06000	37.540	278.606	46.214
108	1.07000	37.408	278.536	46.228
109	1.08000	37.156	278.525	46.064
110	1.09000	36.758	278.483	46.074
111	1.10000	36.145	278.326	45.986
112	1.11000	35.567	278.326	45.967
113	1.12000	34.742	278.183	45.931
114	1.13000	33.777	278.004	45.816
115	1.14000	32.747	277.886	45.685
116	1.15000	31.586	277.700	45.610
117	1.16000	30.242	277.496	45.572
118	1.17000	28.834	277.317	45.382
119	1.18000	27.275	277.173	45.309
120	1.19000	25.634	276.991	45.357
121	1.20000	23.919	276.866	45.365
122	1.21000	22.084	276.762	45.303
123	1.22000	20.178	276.598	45.207
124	1.23000	18.177	276.429	45.061
125	1.24000	16.151	276.305	45.132
126	1.25000	14.023	276.194	44.883
127	1.26000	11.830	276.008	44.885
128	1.27000	9.656	275.978	44.814
129	1.28000	7.324	275.908	44.717
130	1.29000	5.052	275.878	44.738
131	1.30000	2.724	275.792	44.746
132	1.31000	0.464	275.832	44.621
133	1.32000	-1.826	275.863	44.742
134	1.33000	-4.090	275.885	44.676
