NO_OF_FRAMES	9000
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-10-11, 13:03:17.021	128528.93965830
DATA_INCLUDED	3D
MARKER_NAMES	
Frame	Time	 X	 Y	 Z	
1	0.00000	-40.517	275.800	61.091
2	0.01000	-40.504	275.814	61.072
3	0.02000	-40.329	275.787	61.065
4	0.03000	-40.018	275.729	61.087
5	0.04000	-39.568	275.682	61.092
6	0.05000	-38.968	275.599	61.110
7	0.06000	-38.219	275.483	61.141
8	0.07000	-37.330	275.373	61.156
9	0.08000	-36.306	275.246	61.183
10	0.09000	-35.141	275.087	61.233
11	0.10000	-33.869	274.951	61.260
12	0.11000	-32.442	274.783	61.293
13	0.12000	-30.915	274.607	61.350
14	0.13000	-29.286	274.444	61.396
15	0.14000	-27.526	274.277	61.405
16	0.15000	-25.671	274.119	61.448
17	0.16000	-23.710	273.958	61.506
18	0.17000	-21.650	273.801	61.574
19	0.18000	-19.515	273.651	61.635
20	0.19000	-17.301	273.517	61.681
21	0.20000	-15.035	273.407	61.745
22	0.21000	-12.697	273.302	61.804
23	0.22000	-10.307	273.229	61.865
24	0.23000	-7.899	273.179	61.921
25	0.24000	-5.437	273.129	61.983
26	0.25000	-2.945	273.122	62.055
27	0.26000	-0.441	273.126	62.133
28	0.27000	2.074	273.162	62.198
29	0.28000	4.590	273.207	62.253
30	0.29000	7.078	273.270	62.331
31	0.30000	9.537	273.351	62.414
32	0.31000	11.971	273.483	62.456
33	0.32000	14.373	273.600	62.532
34	0.33000	16.749	273.783	62.598
35	0.34000	19.066	273.963	62.679
36	0.35000	21.299	274.162	62.763
37	0.36000	23.474	274.369	62.827
38	0.37000	25.566	274.581	62.876
39	0.38000	27.568	274.770	62.966
40	0.39000	29.474	274.979	63.005
41	0.40000	31.275	275.179	63.047
42	0.41000	32.959	275.432	63.059
43	0.42000	34.545	275.633	63.102
44	0.43000	36.025	275.821	63.163
45	0.44000	37.392	276.010	63.196
46	0.45000	38.606	276.175	63.238
47	0.46000	39.711	276.379	63.256
48	0.47000	40.653	276.548	63.283
49	0.48000	41.478	276.668	63.310
50	0.49000	42.161	276.799	63.323
51	0.50000	42.690	276.850	63.356
52	0.51000	43.072	276.922	63.347
53	0.52000	43.316	276.948	63.363
54	0.53000	43.422	276.964	63.365
55	0.54000	43.368	276.964	63.363
56	0.55000	43.176	276.946	63.331
57	0.56000	42.854	276.889	63.333
58	0.57000	42.355	276.794	63.306
59	0.58000	41.717	276.682	63.284
60	0.59000	40.973	276.562	63.277
61	0.60000	40.062	276.410	63.240
62	0.61000	39.024	276.229	63.223
63	0.62000	37.850	276.046	63.183
64	0.63000	36.536	275.876	63.132
65	0.64000	35.111	275.675	63.091
66	0.65000	33.559	275.471	63.040
67	0.66000	31.926	275.238	63.025
68	0.67000	30.166	275.039	63.000
69	0.68000	28.305	274.838	62.951
70	0.69000	26.362	274.658	62.884
71	0.70000	24.289	274.446	62.825
72	0.71000	22.168	274.247	62.776
73	0.72000	19.967	274.047	62.698
74	0.73000	17.678	273.861	62.632
75	0.74000	15.341	273.687	62.563
76	0.75000	12.959	273.561	62.459
77	0.76000	10.576	273.449	62.446
78	0.77000	8.140	273.342	62.389
79	0.78000	5.673	273.277	62.316
80	0.79000	3.192	273.215	62.268
81	0.80000	0.696	273.189	62.190
82	0.81000	-1.799	273.152	62.138
83	0.82000	-4.264	273.159	62.044
84	0.83000	-6.737	273.176	61.983
85	0.84000	-9.133	273.237	61.956
86	0.85000	-11.509	273.303	61.875
87	0.86000	-13.839	273.386	61.807
88	0.87000	-16.111	273.496	61.748
89	0.88000	-18.338	273.624	61.701
90	0.89000	-20.480	273.771	61.628
91	0.90000	-22.553	273.910	61.560
92	0.91000	-24.527	274.054	61.500
93	0.92000	-26.408	274.226	61.422
94	0.93000	-28.182	274.378	61.396
95	0.94000	-29.835	274.536	61.367
96	0.95000	-31.395	274.695	61.320
97	0.96000	-32.822	274.857	61.285
98	0.97000	-34.140	275.001	61.233
99	0.98000	-35.318	275.130	61.203
100	0.99000	-36.374	275.260	61.185
101	1.00000	-37.296	275.369	61.146
102	1.01000	-38.065	275.479	61.124
103	1.02000	-38.725	275.564	61.117
104	1.03000	-39.224	275.635	61.087
105	1.04000	-39.575	275.683	61.067
106	1.05000	-39.797	275.721	61.067
107	1.06000	-39.858	275.730	61.061
108	1.07000	-39.783	275.711	61.067
109	1.08000	-39.549	275.688	61.081
110	1.09000	-39.177	275.629	61.093
111	1.10000	-38.658	275.554	61.114
112	1.11000	-38.005	275.470	61.130
113	1.12000	-37.196	275.368	61.149
114	1.13000	-36.260	275.248	61.171
