NO_OF_FRAMES	9000
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-10-11, 12:54:21.682	127993.61241190
DATA_INCLUDED	3D
MARKER_NAMES	
Frame	Time	 X	 Y	 Z	
1	0.00000	-17.916	267.891	75.480
2	0.01000	-15.484	267.763	75.622
3	0.02000	-12.993	267.714	75.692
4	0.03000	-10.499	267.654	75.788
5	0.04000	-8.011	267.595	75.867
6	0.05000	-5.498	267.606	75.968
7	0.06000	-2.994	267.594	76.031
8	0.07000	-0.466	267.632	76.095
9	0.08000	2.009	267.702	76.254
10	0.09000	4.459	267.783	76.370
11	0.10000	6.895	267.870	76.460
12	0.11000	9.331	267.974	76.488
13	0.12000	11.695	268.055	76.551
14	0.13000	13.961	268.177	76.631
15	0.14000	16.213	268.349	76.730
16	0.15000	18.349	268.512	76.741
17	0.16000	20.427	268.676	76.833
18	0.17000	22.388	268.813	76.915
19	0.18000	24.276	268.944	77.010
20	0.19000	26.085	269.124	77.058
21	0.20000	27.823	269.355	77.070
22	0.21000	29.372	269.533	77.162
23	0.22000	30.858	269.688	77.175
24	0.23000	32.211	269.835	77.188
25	0.24000	33.436	269.994	77.222
26	0.25000	34.529	270.146	77.255
27	0.26000	35.496	270.284	77.279
28	0.27000	36.325	270.398	77.294
29	0.28000	37.009	270.509	77.321
30	0.29000	37.526	270.593	77.337
31	0.30000	37.949	270.640	77.347
32	0.31000	38.201	270.718	77.355
33	0.32000	38.305	270.744	77.356
34	0.33000	38.278	270.742	77.355
35	0.34000	38.089	270.698	77.395
36	0.35000	37.766	270.657	77.396
37	0.36000	37.303	270.608	77.402
38	0.37000	36.688	270.540	77.413
39	0.38000	35.932	270.425	77.409
40	0.39000	35.027	270.326	77.398
41	0.40000	33.998	270.201	77.396
42	0.41000	32.847	270.090	77.390
43	0.42000	31.563	269.914	77.382
44	0.43000	30.164	269.756	77.361
45	0.44000	28.640	269.585	77.334
46	0.45000	26.992	269.446	77.319
47	0.46000	25.242	269.207	77.260
48	0.47000	23.389	269.051	77.225
49	0.48000	21.471	268.882	77.178
50	0.49000	19.478	268.689	77.089
51	0.50000	17.345	268.520	77.032
52	0.51000	15.169	268.346	76.974
53	0.52000	12.938	268.204	76.884
54	0.53000	10.621	268.120	76.843
55	0.54000	8.274	268.002	76.739
56	0.55000	5.872	267.896	76.672
57	0.56000	3.444	267.796	76.562
58	0.57000	1.017	267.708	76.458
59	0.58000	-1.435	267.667	76.365
60	0.59000	-3.916	267.630	76.278
61	0.60000	-6.363	267.619	76.170
62	0.61000	-8.825	267.597	76.070
63	0.62000	-11.259	267.664	75.975
64	0.63000	-13.662	267.685	75.843
65	0.64000	-16.048	267.752	75.753
66	0.65000	-18.362	267.840	75.657
67	0.66000	-20.573	267.946	75.543
68	0.67000	-22.814	268.112	75.496
69	0.68000	-24.912	268.249	75.379
70	0.69000	-26.961	268.409	75.310
71	0.70000	-28.940	268.563	75.229
72	0.71000	-30.826	268.729	75.164
73	0.72000	-32.593	268.874	75.065
74	0.73000	-34.262	269.078	75.017
75	0.74000	-35.866	269.262	74.969
76	0.75000	-37.316	269.440	74.925
77	0.76000	-38.640	269.572	74.884
78	0.77000	-39.851	269.765	74.863
79	0.78000	-40.906	269.919	74.831
80	0.79000	-41.831	270.036	74.789
81	0.80000	-42.647	270.179	74.779
82	0.81000	-43.307	270.305	74.771
83	0.82000	-43.843	270.377	74.780
84	0.83000	-44.240	270.443	74.771
85	0.84000	-44.474	270.472	74.758
86	0.85000	-44.610	270.504	74.812
87	0.86000	-44.584	270.509	74.826
88	0.87000	-44.392	270.510	74.822
89	0.88000	-44.070	270.470	74.840
90	0.89000	-43.634	270.414	74.894
91	0.90000	-43.045	270.348	74.932
92	0.91000	-42.274	270.243	74.905
93	0.92000	-41.427	270.117	74.970
94	0.93000	-40.441	269.983	75.002
95	0.94000	-39.316	269.860	75.052
96	0.95000	-38.051	269.666	75.072
97	0.96000	-36.685	269.519	75.130
98	0.97000	-35.140	269.314	75.107
99	0.98000	-33.523	269.134	75.171
100	0.99000	-31.799	268.922	75.203
101	1.00000	-30.003	268.741	75.257
102	1.01000	-28.058	268.540	75.261
103	1.02000	-26.088	268.410	75.333
104	1.03000	-24.039	268.188	75.338
105	1.04000	-21.860	268.051	75.338
